frame,active_subjects
0,66
1,62
2,65
3,66
4,64
5,69
6,66
7,67
8,73
9,69
10,67
11,65
12,71
13,69
14,66
15,68
16,65
17,69
18,68
19,71
20,70
21,70
22,68
23,69
24,70
25,71
26,70
27,71
28,72
29,71
30,74
31,68
32,63
33,66
34,69
35,67
36,69
37,68
38,67
39,65
40,71
41,71
42,69
43,69
44,69
45,70
46,67
47,67
48,66
49,64
50,70
51,71
52,68
53,72
54,75
55,75
56,76
57,73
58,73
59,76
60,77
61,76
62,77
63,73
64,71
65,73
66,73
67,68
68,71
69,72
70,74
71,74
72,75
73,74
74,72
75,69
76,72
77,69
78,74
79,76
80,76
81,74
82,76
83,76
84,75
85,79
86,76
87,76
88,75
89,73
90,74
91,70
92,67
93,69
94,67
95,66
96,69
97,67
98,69
99,70
100,66
101,66
102,66
103,65
104,64
105,62
106,64
107,66
108,63
109,66
110,71
111,67
112,69
113,71
114,73
115,72
116,70
117,69
118,73
119,75
120,74
121,73
122,71
123,72
124,72
125,77
126,71
127,69
128,72
129,74
130,72
131,76
132,78
133,72
134,74
135,75
136,76
137,74
138,73
139,74
140,70
141,72
142,74
143,71
144,72
145,72
146,73
147,70
148,72
149,72
150,71
151,72
152,71
153,71
154,71
155,68
156,69
157,70
158,69
159,70
160,70
161,73
162,71
163,72
164,72
165,72
166,74
167,73
168,73
169,70
170,70
171,72
172,68
173,69
174,71
175,68
176,73
177,69
178,69
179,71
180,70
181,72
182,71
183,71
184,66
185,66
186,70
187,71
188,70
189,70
190,71
191,73
192,69
193,70
194,72
195,72
196,71
197,71
198,71
199,64
200,62
201,64
202,67
203,64
204,65
205,66
206,62
207,64
208,65
209,63
210,67
211,62
212,65
213,67
214,67
215,70
216,72
217,73
218,73
219,70
220,69
221,67
222,68
223,68
224,64
225,66
226,63
227,61
228,61
229,62
230,66
231,66
232,66
233,67
234,67
235,66
236,66
237,70
238,70
239,70
240,68
241,70
242,72
243,70
244,68
245,67
246,67
247,69
248,71
249,69
250,70
251,69
252,67
253,70
254,67
255,68
256,69
257,68
258,71
259,70
260,67
261,66
262,67
263,65
264,63
265,64
266,63
267,62
268,66
269,66
270,69
271,69
272,71
273,69
274,69
275,66
276,67
277,68
278,65
279,66
280,68
281,67
282,68
283,69
284,69
285,71
286,70
287,71
288,69
289,69
290,70
291,68
292,66
293,67
294,65
295,65
296,69
297,69
298,65
299,68
300,68
301,68
302,67
303,66
304,67
305,65
306,64
307,65
308,66
309,67
310,67
311,68
312,69
313,69
314,69
315,69
316,68
317,68
318,71
319,72
320,68
321,67
322,67
323,67
324,66
325,67
326,64
327,67
328,66
329,64
330,63
331,62
332,63
333,65
334,63
335,66
336,68
337,66
338,65
339,67
340,67
341,63
342,64
343,64
344,65
345,65
346,65
347,66
348,68
349,63
350,63
351,62
352,60
353,57
354,59
355,60
356,61
357,63
358,61
359,61
360,60
361,62
362,60
363,65
364,63
365,63
366,64
367,62
368,59
369,61
370,63
371,62
372,61
373,60
374,62
375,62
376,63
377,65
378,63
379,62
380,59
381,59
382,61
383,65
384,61
385,62
386,62
387,63
388,61
389,61
390,60
391,60
392,59
393,62
394,61
395,60
396,60
397,60
398,58
399,61
400,60
401,60
402,61
403,61
404,60
405,59
406,65
407,59
408,66
409,65
410,64
411,62
412,60
413,59
414,58
415,60
416,61
417,62
418,60
419,59
420,61
421,64
422,65
423,64
424,65
425,63
426,60
427,57
428,60
429,59
430,59
431,59
432,59
433,58
434,58
435,55
436,59
437,56
438,60
439,61
440,61
441,62
442,61
443,61
444,63
445,60
446,58
447,58
448,57
449,59
450,55
451,56
452,56
453,55
454,56
455,55
456,58
457,55
458,55
459,55
460,56
461,53
462,55
463,51
464,54
465,55
466,55
467,57
468,57
469,56
470,58
471,55
472,57
473,60
